Mutation Operator,Gen.,Killed,Trivial,Live,Equiv.,Invalid
CMO-M-DEL_ActionBlock_statements,5,3,2,,0,0
CMO-M-DEL_CalledRule_variables,2,0,0,,0,2
CMO-M-DEL_ForStat_statements,4,0,4,,0,0
CMO-M-DEL_IfStat_thenStatements,3,0,3,,0,0
CMO-M-DEL_InPattern_elements,18,2,3,,0,13
CMO-M-DEL_LazyMatchedRule_variables,5,0,0,,0,5
CMO-M-DEL_Module_elements,33,4,29,,0,0
CMO-M-DEL_Operation_parameters,2,0,0,,0,2
CMO-M-DEL_OutPattern_elements,30,2,3,,0,25
CMO-M-DEL_SimpleOutPatternElement_bindings,76,12,64,,0,0
CMO-M-REP_Module_elements,3,0,0,,0,3
CMO-S-DEL_CalledRule_actionBlock,1,0,1,,0,0
CMO-S-DEL_CalledRule_outPattern,1,0,0,,0,1
CMO-S-DEL_LazyMatchedRule_actionBlock,2,1,1,,0,0
CMO-S-DEL_LazyMatchedRule_inPattern,6,0,0,,0,6
CMO-S-DEL_LazyMatchedRule_outPattern,6,0,0,,0,6
CMO-S-DEL_OclFeatureDefinition_context_,12,0,12,,0,0
CMO-S-DEL_Parameter_type,2,0,0,,0,2
CMO-S-DEL_RuleVariableDeclaration_initExpression,7,0,0,,0,7
CMO-S-DEL_RuleVariableDeclaration_type,7,0,0,,0,7
CMO-S-REP_Attribute_name,13,2,11,,0,0
CMO-S-REP_Attribute_type,92,92,0,,0,0
CMO-S-REP_BindingStat_source,6,0,4,,0,2
CMO-S-REP_Binding_propertyName,210,24,186,,0,0
CMO-S-REP_CalledRule_isEntrypoint,1,0,1,,0,0
CMO-S-REP_CalledRule_name,1,1,0,,0,0
CMO-S-REP_IfStat_condition,6,2,4,,0,0
CMO-S-REP_Iterator_varName,21,21,0,,0,0
CMO-S-REP_LazyMatchedRule_name,6,2,4,,0,0
CMO-S-REP_OclContextDefinition_context_,497,0,497,,0,0
CMO-S-REP_OclFeatureDefinition_feature,25,2,23,,0,0
CMO-S-REP_OclModelElement_name,46,13,33,,0,0
CMO-S-REP_OclModel_name,13,6,6,,0,1
CMO-S-REP_Operation_name,13,0,13,,0,0
CMO-S-REP_Operation_returnType,43,43,0,,0,0
CMO-S-REP_Parameter_type,6,6,0,,0,0
CMO-S-REP_Parameter_varName,2,2,0,,0,0
CMO-S-REP_RuleVariableDeclaration_type,21,21,0,,0,0
CMO-S-REP_RuleVariableDeclaration_varName,7,7,0,,0,0
CMO-S-REP_SequenceType_elementType,68,68,0,,0,0
CMO-S-REP_SimpleInPatternElement_type,88,88,0,,0,0
CMO-S-REP_SimpleInPatternElement_varName,18,18,0,,0,0
CMO-S-REP_SimpleOutPatternElement_type,776,133,643,,0,0
CMO-S-REP_SimpleOutPatternElement_varName,30,30,0,,0,0
Total,2234,605,1547,,0,82
